,hour,passenger_count
0,0,9465.0
0,1,7866.0
0,2,5728.0
0,3,4612.0
0,4,5638.0
0,5,4943.0
0,6,8490.0
0,7,14027.0
0,8,13106.0
0,9,9505.0
0,10,8103.0
0,11,8805.0
0,12,8675.0
0,13,9204.0
0,14,10136.0
0,15,9424.0
0,16,8556.0
0,17,12181.0
0,18,11772.0
0,19,10860.0
0,20,10021.0
0,21,9814.0
0,22,10860.0
0,23,10515.0
