,hour,passenger_count
0,0,2911278.0
0,1,2138714.0
0,2,1567616.0
0,3,1177959.0
0,4,829356.0
0,5,613615.0
0,6,1270382.0
0,7,2322036.0
0,8,2964716.0
0,9,3167003.0
0,10,3103386.0
0,11,3234691.0
0,12,3414935.0
0,13,3340890.0
0,14,3485389.0
0,15,3295291.0
0,16,2710143.0
0,17,3333506.0
0,18,4197756.0
0,19,4450828.0
0,20,4296213.0
0,21,4230702.0
0,22,4142174.0
0,23,3670683.0
