,hour,passenger_count
0,0,2880965.0
0,1,2118998.0
0,2,1554127.0
0,3,1168716.0
0,4,827205.0
0,5,631926.0
0,6,1338405.0
0,7,2475615.0
0,8,3147684.0
0,9,3280677.0
0,10,3219021.0
0,11,3368767.0
0,12,3552675.0
0,13,3467017.0
0,14,3612896.0
0,15,3448794.0
0,16,2824824.0
0,17,3483890.0
0,18,4372841.0
0,19,4605649.0
0,20,4391894.0
0,21,4269943.0
0,22,4143172.0
0,23,3628924.0
