,hour,passenger_count
0,0,57123.0
0,1,28187.0
0,2,9951.0
0,3,4774.0
0,4,5228.0
0,5,30513.0
0,6,49982.0
0,7,60453.0
0,8,52664.0
0,9,33019.0
0,10,32102.0
0,11,40223.0
0,12,42945.0
0,13,71779.0
0,14,80360.0
0,15,97076.0
0,16,99433.0
0,17,94661.0
0,18,88887.0
0,19,80288.0
0,20,84984.0
0,21,77447.0
0,22,78462.0
0,23,70847.0
